Image,x0,y0,x1,y1
001c1ac5f_aug0.jpg,0,0,384,384
001c1ac5f_aug1.jpg,0,0,384,384
00357e37a_aug0.jpg,0,0,384,384
00357e37a_aug1.jpg,0,0,384,384
004775679_aug0.jpg,0,0,384,384
0050ef29d_aug0.jpg,0,0,384,384
0050ef29d_aug1.jpg,0,0,384,384
00514c876_aug0.jpg,0,0,384,384
00514c876_aug1.jpg,0,0,384,384
0073118da_aug0.jpg,0,0,384,384
0073118da_aug1.jpg,0,0,384,384
007b62e05_aug0.jpg,0,0,384,384
008124524_aug0.jpg,0,0,384,384
008124524_aug1.jpg,0,0,384,384
0084fe40b_aug0.jpg,0,0,384,384
009431af0_aug0.jpg,0,0,384,384
009431af0_aug1.jpg,0,0,384,384
00961802f_aug0.jpg,0,0,384,384
00a3dd76f_aug0.jpg,0,0,384,384
00a3dd76f_aug1.jpg,0,0,384,384
00a4de95e_aug0.jpg,0,0,384,384
00a4de95e_aug1.jpg,0,0,384,384
00a4de95e_aug2.jpg,0,0,384,384
00b92e9bf_aug0.jpg,0,0,384,384
00b92e9bf_aug1.jpg,0,0,384,384
00bc4dade_aug0.jpg,0,0,384,384
00cf9982e_aug0.jpg,0,0,384,384
00cf9982e_aug1.jpg,0,0,384,384
00d9e8278_aug0.jpg,0,0,384,384
00d9e8278_aug1.jpg,0,0,384,384
00e68dc59_aug0.jpg,0,0,384,384
00e68dc59_aug1.jpg,0,0,384,384
00e68dc59_aug2.jpg,0,0,384,384
00eaedfab_aug0.jpg,0,0,384,384
00f0bde81_aug0.jpg,0,0,384,384
010262224_aug0.jpg,0,0,384,384
01070510c_aug0.jpg,0,0,384,384
01070510c_aug1.jpg,0,0,384,384
011258703_aug0.jpg,0,0,384,384
011258703_aug1.jpg,0,0,384,384
011258703_aug2.jpg,0,0,384,384
0118a64b8_aug0.jpg,0,0,384,384
0118a64b8_aug1.jpg,0,0,384,384
0118a64b8_aug2.jpg,0,0,384,384
0124d2989_aug0.jpg,0,0,384,384
0124d2989_aug1.jpg,0,0,384,384
0139248b7_aug0.jpg,0,0,384,384
0139248b7_aug1.jpg,0,0,384,384
0159c02d4_aug0.jpg,0,0,384,384
015b868a1_aug0.jpg,0,0,384,384
015b868a1_aug1.jpg,0,0,384,384
0165c60f3_aug0.jpg,0,0,384,384
0165c60f3_aug1.jpg,0,0,384,384
0165c60f3_aug2.jpg,0,0,384,384
016768c94_aug0.jpg,0,0,384,384
016768c94_aug1.jpg,0,0,384,384
01699beb5_aug0.jpg,0,0,384,384
016aa69cf_aug0.jpg,0,0,384,384
016aa69cf_aug1.jpg,0,0,384,384
016aa69cf_aug2.jpg,0,0,384,384
016ac2f79_aug0.jpg,0,0,384,384
016dfbd1e_aug0.jpg,0,0,384,384
016dfbd1e_aug1.jpg,0,0,384,384
0172cb96f_aug0.jpg,0,0,384,384
01751644e_aug0.jpg,0,0,384,384
0175e8d3f_aug0.jpg,0,0,384,384
0187bfdff_aug0.jpg,0,0,384,384
0187bfdff_aug1.jpg,0,0,384,384
0187bfdff_aug2.jpg,0,0,384,384
01b7e3f36_aug0.jpg,0,0,384,384
01b7e3f36_aug1.jpg,0,0,384,384
01dcb420f_aug0.jpg,0,0,384,384
01dcb420f_aug1.jpg,0,0,384,384
01dfca144_aug0.jpg,0,0,384,384
01dfca144_aug1.jpg,0,0,384,384
01e4842aa_aug0.jpg,0,0,384,384
01e4842aa_aug1.jpg,0,0,384,384
01f58bda4_aug0.jpg,0,0,384,384
01f58bda4_aug1.jpg,0,0,384,384
01f58bda4_aug2.jpg,0,0,384,384
01f6f8d04_aug0.jpg,0,0,384,384
01f6f8d04_aug1.jpg,0,0,384,384
0202dfb29_aug0.jpg,0,0,384,384
0206722e5_aug0.jpg,0,0,384,384
0206722e5_aug1.jpg,0,0,384,384
0206722e5_aug2.jpg,0,0,384,384
02156d140_aug0.jpg,0,0,384,384
02156d140_aug1.jpg,0,0,384,384
0215715b6_aug0.jpg,0,0,384,384
0215715b6_aug1.jpg,0,0,384,384
0215715b6_aug2.jpg,0,0,384,384
0225391f4_aug0.jpg,0,0,384,384
0225391f4_aug1.jpg,0,0,384,384
0225391f4_aug2.jpg,0,0,384,384
025407c89_aug0.jpg,0,0,384,384
025407c89_aug1.jpg,0,0,384,384
02545618c_aug0.jpg,0,0,384,384
02545618c_aug1.jpg,0,0,384,384
02564ae05_aug0.jpg,0,0,384,384
02568e465_aug0.jpg,0,0,384,384
02568e465_aug1.jpg,0,0,384,384
02568e465_aug2.jpg,0,0,384,384
025738f80_aug0.jpg,0,0,384,384
025738f80_aug1.jpg,0,0,384,384
025c1eb28_aug0.jpg,0,0,384,384
025c1eb28_aug1.jpg,0,0,384,384
025c1eb28_aug2.jpg,0,0,384,384
0260984e4_aug0.jpg,0,0,384,384
0260984e4_aug1.jpg,0,0,384,384
0260984e4_aug2.jpg,0,0,384,384
026345181_aug0.jpg,0,0,384,384
026345181_aug1.jpg,0,0,384,384
026345181_aug2.jpg,0,0,384,384
026cf2c73_aug0.jpg,0,0,384,384
026cf2c73_aug1.jpg,0,0,384,384
0270cd806_aug0.jpg,0,0,384,384
0270cd806_aug1.jpg,0,0,384,384
0270cd806_aug2.jpg,0,0,384,384
027988cef_aug0.jpg,0,0,384,384
027f1594f_aug0.jpg,0,0,384,384
027f1594f_aug1.jpg,0,0,384,384
028c4bfde_aug0.jpg,0,0,384,384
028c4bfde_aug1.jpg,0,0,384,384
028e9f24d_aug0.jpg,0,0,384,384
028f11c08_aug0.jpg,0,0,384,384
028f11c08_aug1.jpg,0,0,384,384
028f11c08_aug2.jpg,0,0,384,384
028f7081a_aug0.jpg,0,0,384,384
02b32cd35_aug0.jpg,0,0,384,384
02b32cd35_aug1.jpg,0,0,384,384
02b32cd35_aug2.jpg,0,0,384,384
02bce1dd2_aug0.jpg,0,0,384,384
02bce1dd2_aug1.jpg,0,0,384,384
02be719b7_aug0.jpg,0,0,384,384
02beb151f_aug0.jpg,0,0,384,384
02beb151f_aug1.jpg,0,0,384,384
02c47bf28_aug0.jpg,0,0,384,384
02c47bf28_aug1.jpg,0,0,384,384
02d191488_aug0.jpg,0,0,384,384
02d30c6e4_aug0.jpg,0,0,384,384
02d30c6e4_aug1.jpg,0,0,384,384
02d30c6e4_aug2.jpg,0,0,384,384
02e7b200c_aug0.jpg,0,0,384,384
02e7b200c_aug1.jpg,0,0,384,384
02f402c31_aug0.jpg,0,0,384,384
02f402c31_aug1.jpg,0,0,384,384
